All,ทั้งหมด
You need more permissions to view this item.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการดูรายการนี้
You need more permissions to set All Scopes to a Role.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการกำหนดบทบาททั้งหมด
You need more permissions to save this setting.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการบันทึกการตั้งค่า
You need more permissions to save this item.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการบันทึกรายการนี้
You need more permissions to delete this item(s): %1.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการลบรายการเหล่านี้: %1.
You need more permissions to delete this item.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการลบรายการนี้
You need more permissions to apply some of the rule updates.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการอัปเดตกฎ
"You need more permissions to access website ""%1"".","คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการเข้าถึงเว็บไซต์นี้ ""%1"""
You can create orders only in an active store.,คุณสามารถสร้างคำสั่งซื้อได้เฉพาะในร้านที่ใช้งานอยู่เท่านั้น
Role Scopes,ขอบเขตหน้าที่
Please specify at least one website or one store group.,โปรดระบุเว็บไซต์หรือกลุ่มร้านค้าอย่างน้อยหนึ่งแห่ง
Please assign this item to a store view.,โปรดมอบหมายรายการนี้ในมุมมองร้านค้า
Please assign this entity to a store view.,โปรดกำหนดเอนทิตีต่อไปยังมุมมองร้านค้า
None,ไม่มี
Incorrect website ID: %1,หมายเลขเว็บไซต์ไม่ต้องเป็น: %1
Incorrect store ID: %1,รหัสร้านค้าไม่ต้องเป็น: %1
Custom,กำหนดเอง
Allowed Scopes,ขอบเขตที่อนุญาต
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,เว็บเซิร์ฟเวอร์ของคุณได้รับการตั้งค่าไม่ถูกต้องและอนุญาตให้เข้าถึงไฟล์สำคัญ ๆ โดยไม่ได้รับอนุญาต โปรดติดต่อผู้ให้บริการโฮสติ้งของคุณ
You have %1 new system messages,คุณมี %1 ข้อความใหม่
You have %1 new system message,คุณมี %1 ข้อความใหม่
Wrong notification ID specified.,ระบุรหัสการแจ้งที่ไม่ถูกต้อง
Wrong message type,ประเภทข้อความไม่ถูกต้อง
We were unable to synchronize one or more media files. Please refer to the log file for details.,เราไม่สามารถเชื่อมไฟล์ได้อย่างน้อยหนึ่งไฟล์ โปรดดูที่ไฟล์บันทึกเพื่อดูรายละเอียด
We couldn't remove the messages because of an error.,ไม่สามารถลบได้เนื่องจากเกิดข้อผิดพลาดบางอย่าง
We couldn't mark the notification as Read because of an error.,ไม่สามารถทำเครื่องหมายการแจ้งเตือนว่าอ่านแล้วเนื่องจากเกิดข้อผิดพลาดบางอย่าง
Use HTTPS to Get Feed,ใช้ HTTPS เพื่อรับข้อเสนอแนะ
Update Frequency,ความถี่อัปเดต
unread,ยังไม่อ่าน
Total of %1 record(s) have been removed.,%1 รายการ ลบเรียบร้อยแล้ว
The message has been removed.,บัญชีบัตรของขวัญนี้ถูกนำออกแล้ว
The message has been marked as Read.,ไฟล์นี้จะแทนที่ไฟล์ custom.css ปัจจุบันและต้องมีขนาดไม่เกิน 2 MB
System Messages:,ข้อความระบบ:
System messages,ข้อความระบบ
Synchronization of media storages has been completed.,การเชื่อมต่อของการจัดเก็บไฟล์สมบูรณ์
Show Toolbar,แสดงแถบเครื่องมือ
Show List,แสดงรายการ
Severity,ความรุนแรง
See All (,ดูทั้งหมด (
Remove,ลบ
Read Details,อ่านรายละเอียด
Please select messages.,กรุณาเลือกข้อความ
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","ไปที่ <a href=""%1""> การจัดการ Cache </a>"
One or more of the Cache Types are invalidated: %1.,Cache ถูกเลิกใช้งาน:%1
Notifications,การแจ้งเตือน
notice,แจ้งให้ทราบ
minor,ผู้เยาว์
Messages Inbox,กล่องข้อความ
Message,ข้อความ
Mark as Read,ทำเครื่องหมายว่าอ่านแล้ว
Major System Messages,ข้อความระบบหลัก
major,สำคัญ
Last Update,อัปเดตล่าสุด
Incoming Message,ข้อความเข้า
Date Added,วันที่เพิ่ม
Critical System Messages,ข้อความระบบที่สำคัญ
critical,วิกฤติ
close,ปิด
Close,ปิด
A total of %1 record(s) have been marked as Read.,%1 รายการได้ทำเครื่องหมายว่าอ่านแล้ว
Are you sure?,คุณมั่นใจหรือไม่?
Actions,การกระทำ
6 Hours,6 ชั่วโมง
2 Hours,2 ชั่วโมง
24 Hours,24 ชั่วโมง
1 Hour,1 ชั่วโมง
12 Hours,12 ชั่วโมง
Hours, ชั่วโมง
Secs, วินาที
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} ไม่แนะนำให้ใช้ใน server จริง ในการตั้งต่า Base Unsecure URL / Base Secure URL แนะนำให้ไปตั้งค่าที่ <a href=""%1"">configuration</a>."
You removed the items.,ลบรายการเรียบร้อยแล้ว
You removed the item.,ลบรายการเรียบร้อยแล้ว
"Your csv file must include ""sku"" and ""qty"" columns.","ไฟล์ CSV ของคุณต้องมีคอลัมน์ ""รหัสสินค้า"" และ ""จำนวน"""
You need to choose options for your item.,คุณต้องเลือกตัวเลือกสำหรับรายการของคุณ
You must buy at least %1 of these per purchase.,คุณต้องซื้ออย่างน้อย %1 ต่อครั้ง
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","คุณยังไม่ได้ป้อนรหัสสินค้า โปรด <a href=""%1""> คลิกที่นี่ </a> เพื่อเพิ่มสินค้าจากรหัสสินค้า"
You have not entered a product SKU.,คุณยังไม่ได้ป้อนรหัสสินค้า
You do not have access to this.,คุณไม่สามารถเข้าถึงได้
You cannot upload this file.,คุณไม่สามารถอัปโหลดไฟล์นี้ได้
You cannot configure a product.,คุณไม่สามารถกำหนดค่าผลิตภัณฑ์ได้
You cannot add a product.,ไม่สามารถเพิ่มสินค้าได้
You can buy up to %1 of these per purchase.,คุณสามารถซื้อได้ %1 ต่อครั้ง
You can add only enabled products.,คุณสามารถเพิ่มสินค้าที่ใช้งานเท่านั้น
You can't add this many to your cart.,คุณไม่สามารถเพิ่มจำนวนนี้ลงในรถเข็นของคุณได้
You added %1 to your shopping cart.,เพิ่ม %1 ไปยังรถเข็นแล้ว
